Name,Country Code,Year,Population,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,2022,41128771,,,,,,,,,,,,,,,,,,,
Albania,ALB,2022,2775634,,,,,,,,,,,,,,,,,,,
Algeria,DZA,2022,44903225,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,2022,44273,,,,,,,,,,,,,,,,,,,
Andorra,AND,2022,79824,,,,,,,,,,,,,,,,,,,
Angola,AGO,2022,35588987,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,2022,93763,,,,,,,,,,,,,,,,,,,
Argentina,ARG,2022,46234830,,,,,,,,,,,,,,,,,,,
Armenia,ARM,2022,2780469,,,,,,,,,,,,,,,,,,,
Armenia,ARM,2022,2780469,,,,,,,,,,,,,,,,,,,
Aruba,ABW,2022,106445,,,,,,,,,,,,,,,,,,,
Australia,AUS,2022,25978935,,,,,,,,,,,,,,,,,,,
Austria,AUT,2022,9042528,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,2022,10175016,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,2022,10175016,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,2022,409984,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,2022,1472233,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,2022,171186372,,,,,,,,,,,,,,,,,,,
Barbados,BRB,2022,281635,,,,,,,,,,,,,,,,,,,
Belarus,BLR,2022,9208701,,,,,,,,,,,,,,,,,,,
Belgium,BEL,2022,11669446,,,,,,,,,,,,,,,,,,,
Belize,BLZ,2022,405272,,,,,,,,,,,,,,,,,,,
Benin,BEN,2022,13352864,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,2022,63532,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,2022,782455,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,2022,12224110,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,2022,3233526,,,,,,,,,,,,,,,,,,,
Botswana,BWA,2022,2630296,,,,,,,,,,,,,,,,,,,
Brazil,BRA,2022,215313498,,,,,,,,,,,,,,,,,,,
British Virgin Islands,VGB,2022,31305,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,2022,449002,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,2022,6465097,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,2022,22673762,,,,,,,,,,,,,,,,,,,
Burundi,BDI,2022,12889576,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,2022,593149,,,,,,,,,,,,,,,,,,,
Cambodia,KHM,2022,16767842,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,2022,27914536,,,,,,,,,,,,,,,,,,,
Canada,CAN,2022,38929902,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,2022,68706,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,2022,5579144,,,,,,,,,,,,,,,,,,,
Chad,TCD,2022,17723315,,,,,,,,,,,,,,,,,,,
Chile,CHL,2022,19603733,,,,,,,,,,,,,,,,,,,
China,CHN,2022,1412175000,,,,,,,,,,,,,,,,,,,
Colombia,COL,2022,51874024,,,,,,,,,,,,,,,,,,,
Comoros,COM,2022,836774,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD,2022,99010212,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,2022,5970424,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,2022,5180829,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,CIV,2022,28160542,,,,,,,,,,,,,,,,,,,
Croatia,HRV,2022,3854000,,,,,,,,,,,,,,,,,,,
Cuba,CUB,2022,11212191,,,,,,,,,,,,,,,,,,,
Curacao,CUW,2022,149996,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,2022,1251488,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,2022,1251488,,,,,,,,,,,,,,,,,,,
Czechia,CZE,2022,10526073,,,,,,,,,,,,,,,,,,,
Denmark,DNK,2022,5903037,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,2022,1120849,,,,,,,,,,,,,,,,,,,
Dominica,DMA,2022,72737,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,2022,11228821,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,2022,18001000,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",EGY,2022,110990103,,,,,,,,,,,,,,,,,,,
El Salvador,SLV,2022,6336392,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,2022,1674908,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,2022,3684032,,,,,,,,,,,,,,,,,,,
